"player","actual","meta_predictions","residual"
"Aaron Judge",204.4578695733,192.687248552425,11.7706210208751
"Shohei Ohtani",172.31560456294,175.058605655458,-2.7430010925176
"Cal Raleigh",161.114774308223,160.452988455069,0.661785853153702
"Juan Soto",155.931108141207,159.579924627123,-3.64881648591583
"Kyle Schwarber",152.080516407838,159.669771108031,-7.58925470019341
"Ketel Marte",145.287207879544,143.023235154893,2.26397272465078
"Pete Alonso",141.208000054832,133.65011139999,7.55788865484232
"Michael Busch",139.876474600224,148.179250472475,-8.30277587225075
"Freddie Freeman",139.370601775541,126.113807286138,13.2567944894032
"Corbin Carroll",139.088396044801,139.266391968216,-0.177995923415381
"Geraldo Perdomo",137.987550463487,131.508503603666,6.4790468598213
"Vladimir Guerrero Jr.",137.027813225307,130.658645417942,6.36916780736499
"Byron Buxton",136.341575812197,138.996744390796,-2.65516857859882
"Matt Olson",136.061526690313,132.022192264272,4.03933442604117
"Kyle Tucker",135.978002717155,135.337335882934,0.640666834220553
"Rafael Devers",135.336651201115,133.163533997162,2.17311720395313
"Jeremy Peña",135.114623010578,114.106131465496,21.0084915450819
"Yandy Díaz",134.608143396688,125.213480799398,9.39466259729035
"Bo Bichette",133.742256888172,108.603050043783,25.1392068443895
"José Ramírez",133.47219237515,131.720594398943,1.75159797620722
"Ben Rice",132.600168453246,135.309488971605,-2.7093205183586
"Shea Langeliers",132.345452200789,121.469540999082,10.8759112017073
"Jorge Polanco",132.089358805373,127.562822056784,4.52653674858904
"Fernando Tatis Jr.",131.282725643461,130.968805713386,0.313919930074945
"Bryce Harper",131.246724205697,128.616115116662,2.63060908903506
"Bobby Witt Jr.",129.716441966024,123.323038064424,6.3934039016002
"Junior Caminero",129.253564547727,130.72251419834,-1.46894965061313
"Trent Grisham",129.024490820017,140.559738814071,-11.5352479940538
"Francisco Lindor",128.771254282017,121.314165454986,7.45708882703072
"Josh Naylor",127.55957763352,115.072435749054,12.4871418844657
"James Wood",127.293758424307,116.04529364654,11.2484647777668
"Ryan O'Hearn",127.268687705564,116.273553756806,10.9951339487583
"Jazz Chisholm Jr.",126.093845789327,121.940763236101,4.1530825532263
"Julio Rodríguez",125.969440262665,117.255538115253,8.71390214741211
"Tyler Soderstrom",125.258101359286,120.059153479204,5.19894788008199
"Cody Bellinger",125.034227533092,124.786541747353,0.247685785738497
"Trea Turner",124.808227806724,105.773360106984,19.0348676997403
"Eugenio Suárez",124.693617123464,130.564343039397,-5.87072591593271
"Alec Burleson",124.47509791187,121.732982044863,2.74211586700717
"Brice Turang",123.569729921547,104.944396559161,18.6253333623863
"Willson Contreras",123.563415758934,118.724491627956,4.8389241309784
"Manny Machado",123.025501417936,119.257141548835,3.76835986910064
"Seiya Suzuki",122.590294534666,125.916292161029,-3.32599762636282
"Christian Yelich",121.417495545221,110.3278952304,11.0896003148205
"Riley Greene",120.776833577504,114.182983382691,6.59385019481348
"Maikel Garcia",120.503929638128,112.106968857288,8.39696078084026
"Randy Arozarena",119.965337565667,115.341978300597,4.62335926506977
"Gunnar Henderson",119.782891815493,113.908649842418,5.87424197307483
"Mike Trout",119.75142681338,125.451086277852,-5.69965946447164
"Brendan Donovan",118.596891351044,109.165782956651,9.43110839439333
"Matt Chapman",118.309057007223,124.70464993581,-6.39559292858728
"Wyatt Langford",118.205814726234,123.358623003662,-5.15280827742824
"Hunter Goodman",117.704241847891,116.934532248882,0.76970959900936
"Spencer Torkelson",117.571494933154,127.929673496496,-10.3581785633417
"Jake Cronenworth",117.498544941002,112.224668525042,5.2738764159598
"Taylor Ward",116.718844979828,127.861369554798,-11.14252457497
"Ian Happ",115.772520361249,118.791838565531,-3.01931820428244
"Vinnie Pasquantino",115.609800517036,126.229904240553,-10.6201037235168
"Zach Neto",115.585663049805,119.683277393656,-4.09761434385076
"Alejandro Kirk",115.550875811779,120.144049776574,-4.59317396479543
"Brandon Nimmo",114.083801065431,110.846328251479,3.23747281395187
"Brandon Lowe",113.991144297087,112.738682996726,1.25246130036089
"Marcell Ozuna",113.968144533361,124.596274987661,-10.6281304543002
"Sal Frelick",113.950279441078,97.6804751787989,16.2698042622791
"Zach McKinstry",113.68269542178,97.5188338185597,16.1638616032203
"William Contreras",113.478765488405,110.632560472476,2.84620501592894
"Andy Pages",113.466946036986,104.060964355389,9.40598168159707
"Jose Altuve",113.378324338175,102.055003005633,11.3233213325423
"J.P. Crawford",113.190652018898,95.9230171960062,17.2676348228918
"Gleyber Torres",112.761138028463,113.72748140128,-0.966343372817136
"Kyle Manzardo",112.65081053203,119.590888176041,-6.94007764401094
"Jo Adell",112.440592546433,116.654976465096,-4.21438391866273
"Jackson Chourio",111.352241644194,103.486760114735,7.86548152945912
"Jarren Duran",111.150787053783,108.375585776233,2.77520127754988
"Gavin Sheets",110.645862282431,107.97270626207,2.67315602036065
"Nico Hoerner",109.388938366501,95.2383067254265,14.1506316410745
"Pete Crow-Armstrong",108.919143763799,111.882756174197,-2.96361241039773
"Nolan Schanuel",108.632390618135,108.135072100912,0.497318517223249
"Elly De La Cruz",108.503526135948,110.020583112067,-1.51705697611945
"Willy Adames",107.721351701398,117.724876612243,-10.0035249108453
"Josh Bell",107.476004714924,125.029098986553,-17.553094271629
"CJ Abrams",107.317565402189,105.502246360859,1.81531904133037
"Jung Hoo Lee",107.179508018003,101.174647216444,6.0048608015595
"Heliot Ramos",106.418878270387,100.87212406249,5.54675420789711
"Carlos Correa",106.241181346465,97.1245379055852,9.11664344087977
"Mike Yastrzemski",105.927342021605,119.542207778749,-13.6148657571437
"Caleb Durbin",105.082247945641,98.0052531117926,7.0769948338484
"Alec Bohm",104.825332172004,98.9504046284635,5.87492754354049
"Luis Arraez",104.033419475721,107.340208743929,-3.30678926820792
"Xander Bogaerts",103.867343863634,96.1995199425794,7.66782392105465
"Mookie Betts",103.826008086538,110.298456481751,-6.47244839521332
"Paul Goldschmidt",103.429117598697,100.690409875722,2.73870772297468
"Trevor Larnach",101.856698718584,96.2489920751054,5.60770664347862
"Teoscar Hernández",101.811861792133,100.844355579895,0.967506212237708
"Gavin Lux",101.519113936152,91.6267229113817,9.8923910247703
"Trevor Story",100.996653324534,103.459425352178,-2.46277202764449
"Miguel Vargas",100.859929236361,116.162499830262,-15.302570593901
"Josh Smith",100.273883727364,95.7866321483548,4.4872515790092
"Bryson Stott",99.9007366907609,101.976478272868,-2.07574158210757
"Lenyn Sosa",99.6069474858165,95.6665461976185,3.94040128819796
"Dansby Swanson",99.4005049292494,103.337734779311,-3.93722985006136
"Bryan Reynolds",99.2542017197389,97.5137202691241,1.74048145061477
"Steven Kwan",98.9429972687517,102.290692863975,-3.34769559522354
"Christian Walker",98.9174443559521,106.856949907,-7.9395055510481
"Ernie Clement",97.5581351260684,94.4291476385749,3.12898748749349
"Spencer Steer",97.0487012338879,101.407491678416,-4.35879044452784
"Lars Nootbaar",96.0897112337227,106.21332905843,-10.1236178247077
"Jackson Holliday",95.5896987751449,95.5957627771063,-0.00606400196144818
"Lawrence Butler",95.5155057970478,96.5868462752359,-1.07134047818806
"Xavier Edwards",95.48281525011,82.6348821785173,12.8479330715927
"Salvador Perez",95.4481191451256,113.320410094161,-17.8722909490355
"Andrew McCutchen",95.3256071412318,107.746232936799,-12.4206257955676
"Lourdes Gurriel Jr.",94.634013527695,100.097983019601,-5.46396949190647
"J.T. Realmuto",93.9980073996584,93.3432519688393,0.654755430819094
"Yainer Diaz",91.8819039201195,97.2921671976265,-5.410263277507
"Ceddanne Rafaela",91.4870338445284,101.464600588237,-9.97756674370839
"Masyn Winn",91.4232310509208,87.6174258377633,3.80580521315753
"Nathaniel Lowe",91.2889161258294,94.1067957097123,-2.81787958388291
"Josh Jung",91.2013111883326,84.5760307293632,6.62528045896939
"Agustín Ramírez",90.8792966755662,107.676523894563,-16.7972272189969
"Jordan Beck",90.44762839813,89.4750346647723,0.972593733357712
"Nick Castellanos",89.742619332349,90.0383665704548,-0.295747238105804
"Marcus Semien",89.0282489446599,102.877528258488,-13.8492793138278
"Jonathan India",88.6728058124409,99.2988332637597,-10.6260274513188
"Ozzie Albies",86.8843058019428,99.3480539358697,-12.4637481339269
"Chase Meidroth",86.5031946865502,79.8043155350186,6.69887915153157
"Ryan McMahon",86.3360290228807,103.512340775234,-17.1763117523535
"Otto Lopez",86.208809531586,96.6887881708829,-10.4799786392969
"Oneil Cruz",85.6365201328989,108.109797122221,-22.4732769893221
"Eric Wagaman",85.0939140035465,90.2139525724897,-5.12003856894317
"Anthony Volpe",82.9153772848496,102.595606816039,-19.6802295311896
"Michael Harris II",82.851702365906,92.2861853985403,-9.43448303263429
"Adolis García",82.8293621131525,96.9113048799089,-14.0819427667564
"Brooks Lee",80.5451730779685,92.5388125623453,-11.9936394843768
"Matt McLain",76.9644687341453,87.9995210017479,-11.0350522676026
"Luis Rengifo",72.6824828080034,74.2127857993259,-1.53030299132247
"Joey Ortiz",66.6061186453777,77.3337758207586,-10.7276571753809
"Brenton Doyle",65.1903557494447,86.1901289174067,-20.999773167962
"Ke'Bryan Hayes",64.8787247569535,73.9905569165992,-9.11183215964574
